stage,config_id,strategy,old_status,old_scope,stage_local_gate,final_or_component_eligibility,primary_score,new_recall_at_10_hard_failures,cost_review,diagnosis,next_candidate
pdf-chunker,pdf-chunker-0461d3e9d091c2dbdcd2,pdf-fixed-400,completed,global-corpus,fail,component-fail,0.829251,7,yes,"small chunks fragment evidence and crowd top-k; multiple domain, multi-hop, adversarial, Recall@10, and all-group regressions","F1 multigranular; F3 adjacent expansion"
pdf-chunker,pdf-chunker-c040a02c658aab1769db,pdf-fixed-800,completed,global-corpus,pass,component-pass,0.903577,0,no,"stage baseline; locally precise but not a final product winner by itself","paper-scoped confirmation"
pdf-chunker,pdf-chunker-68b1924621295d86b45e,pdf-fixed-1200,completed,global-corpus,fail,component-fail,0.914317,4,no,"higher mean recall but three domain regressions plus adversarial regression and four new hard failures","F1 multigranular"
pdf-chunker,pdf-chunker-f961868d853dce6715f5,pdf-page-aware,completed,global-corpus,fail,component-fail,0.892465,4,no,"short-page fragments and five domain regressions; Recall@10 and adversarial guardrails fail","F5 minimum-span merge"
pdf-chunker,pdf-chunker-dcdafcd66f544d21e7de,pdf-section-aware,completed,global-corpus,fail,component-fail,0.863796,8,yes,"over-segmentation creates many sub-200-character chunks; six domain regressions and eight new hard failures","F5 section-aware minimum-span merge"
pdf-chunker,pdf-chunker-dc8dc6072298a93a603b,pdf-structure-aware,failed,global-corpus,not-evaluable,component-fail,,0,no,"structure-detection-failed on W2800002600; 9/20 papers have no detected structure marker","F2 explicit fallback with a new config ID"
pdf-chunker,pdf-chunker-a3d28c82a482892a90d5,pdf-parent-child,completed,global-corpus,fail,component-fail,0.815649,10,yes,"parent gate plus child top-k gate loses evidence; nine domain regressions and ten new hard failures","H1 direct fallback; H2 score fusion"
note-chunker,note-chunker-2e5416c4ef66293fd66e,note-whole,completed,global-corpus,fail,component-fail,0.245596,66,no,"one broad note chunk fans out to many PDF chunks and collapses discrimination","N4 backlink span cap"
note-chunker,note-chunker-7a1cacaa9eefb7e528bd,note-section,completed,global-corpus,pass,component-pass,0.417208,0,no,"stage baseline with 20/20 paper coverage; still only a component diagnostic","N2 section plus claim"
note-chunker,note-chunker-7e40886d3650c8b7a407,note-claim-evidence,completed,global-corpus,fail,component-fail,0.367829,26,no,"five domain regressions and 26 new hard failures; citation projection remains too broad","N2 section plus claim; N4 backlink span cap"
note-chunker,note-chunker-78efa62fecb3240c48e8,note-reviewer-concern,completed,global-corpus,fail,diagnostic-only,0.676954,10,no,"only four chunks from 2/20 papers; sparse coverage makes the high mean incomparable and rankable is false","N0 eligibility gate; N3 parser contract"
retriever,retriever-0cf355b010cab9b9ef9d,dense,completed,global-corpus,pass,component-pass,0.820163,0,no,"stage baseline; strongest stable multi-evidence route among current retrievers","paper-scoped confirmation"
retriever,retriever-505b0f12318c520338bf,bm25,completed,global-corpus,fail,component-fail,0.796635,8,no,"lookup strength does not offset six domain, multi-hop, adversarial, Recall@10, and all-group regressions","R1 dense-heavy hybrid; R2 BM25 rescue"
retriever,retriever-9ccd91ad8de58b61e209,hybrid-rrf,completed,global-corpus,fail,component-fail,0.830198,3,no,"mean nDCG improves but all-group success drops and three new hard failures appear","R1 dense-heavy hybrid; R3 diversity-aware fusion"
source-composition,source-composition-92a5dd813049803fe4b6,pdf-only,completed,global-corpus,pass,component-pass,0.830198,0,no,"stage baseline and the only source route passing local guardrails","paper-scoped confirmation"
source-composition,source-composition-a710ff29907c7801b3b6,note-to-pdf,completed,global-corpus,fail,component-fail,0.007334,229,no,"no direct-PDF fallback; note projection removes nearly all evidence","S0 confidence fallback"
source-composition,source-composition-da7b523d9783cfd3a8da,pdf-note-rrf,completed,global-corpus,fail,component-fail,0.548662,17,no,"equal-weight note fusion amplifies sparse and high-fanout backlinks","N0 eligibility; S1 PDF-dominant weighting"
source-composition,source-composition-63afe8364a38cce0a288,note-guided-pdf,completed,global-corpus,fail,component-fail,0.082734,209,no,"hard filtering to sparse note backlinks creates empty or incomplete candidate sets","S0 confidence fallback"
source-composition,source-composition-00569ab29b0615636c7d,hierarchical-pdf,completed,global-corpus,fail,component-fail,0.728962,7,yes,"parent and child gates both have to succeed; all ten domains regress","H1 parent expansion plus direct fallback; H2 score fusion"
reranker,reranker-4c0466f31afde6284ef0,rerank-off,completed,global-corpus,pass,component-pass,0.830198,0,no,"stage baseline; downstream anchor still contains the failed hybrid component","paper-scoped confirmation"
reranker,reranker-6af26a39bf6b590adf74,rerank-20-to-10,completed,global-corpus,fail,component-fail,0.830189,1,yes,"three domain regressions, adversarial regression, one new hard failure, and about 7.24x p95","RR1 base-rank fusion"
reranker,reranker-82d90c8b02808772b42d,rerank-50-to-10,completed,global-corpus,fail,component-fail,0.835755,1,yes,"mean gain hides three domain regressions, adversarial regression, one new hard failure, and about 15.04x p95","RR1 base-rank fusion; RR5 evidence-intent prompt"
reranker,reranker-abffa6986d735e1b1cd2,rerank-100-to-10,completed,global-corpus,fail,component-fail,0.835287,1,yes,"no useful gain over depth 50; same slice failures and about 63.80x p95","drop as default; do not prioritize"
top2-confirmation,top2-confirmation-0d3b98ed0b9c6f728106,fixed800+dense+pdf-only+off,completed,global-corpus,pass,final-pass,0.797742,0,no,"only old confirmation combination passing both its local gate and all upstream component gates","paper-scoped confirmation"
top2-confirmation,top2-confirmation-2d5a2ea0484f0cf3f1fc,fixed800+dense+pdf-only+rerank50,completed,global-corpus,fail,final-fail,0.831159,1,yes,"one new hard failure and about 33.55x p95 against its matched off baseline","RR1 base-rank fusion"
top2-confirmation,top2-confirmation-cd8278d4f8da181e0f14,fixed800+hybrid+pdf-only+off,completed,global-corpus,pass,final-fail,0.815051,0,no,"stage-local baseline passes but the hybrid upstream component fails","R1 dense-heavy hybrid"
top2-confirmation,top2-confirmation-3a21a2f681c8a31d68fe,fixed800+hybrid+pdf-only+rerank50,completed,global-corpus,fail,final-fail,0.833182,1,yes,"one new hard failure plus failed hybrid upstream component","R1 plus RR1 only after separate passes"
top2-confirmation,top2-confirmation-ff5d2f5f70537d7f0ea6,fixed1200+dense+pdf-only+off,completed,global-corpus,pass,final-fail,0.820163,0,no,"stage-local baseline passes but fixed1200 upstream component fails","F1 multigranular"
top2-confirmation,top2-confirmation-4ed5e80f8af0d963b8a2,fixed1200+dense+pdf-only+rerank50,completed,global-corpus,fail,final-fail,0.836067,1,yes,"two domain regressions, adversarial regression, one new hard failure, and failed fixed1200 upstream component","F1 and RR1 as separate variables first"
top2-confirmation,top2-confirmation-4a54989ab9420c780d49,fixed1200+hybrid+pdf-only+off,completed,global-corpus,pass,final-fail,0.830198,0,no,"stage-local baseline passes but both fixed1200 and hybrid upstream components fail","F1 or R1 separately"
top2-confirmation,top2-confirmation-83a878a5daa76b1bb7ff,fixed1200+hybrid+pdf-only+rerank50,completed,global-corpus,fail,final-fail,0.835755,1,yes,"old provisional winner fails three domains, adversarial, one hard-failure, fixed1200 upstream, and hybrid upstream","do not promote; F1, R1, and RR1 separately"
top2-confirmation,top2-confirmation-b9f5e20ef5468f52dd25,parent-child+dense+hierarchical+off,completed,global-corpus,pass,final-fail,0.700675,0,no,"stage-local baseline passes but parent-child and hierarchical upstream components fail","H1 direct fallback"
top2-confirmation,top2-confirmation-f8a0b35f82e5b973d89f,parent-child+dense+hierarchical+rerank50,completed,global-corpus,fail,final-fail,0.781948,4,yes,"four new hard failures plus failed parent-child and hierarchical upstream components","H1 before any reranker"
top2-confirmation,top2-confirmation-c5b661c074b674db2ad5,parent-child+hybrid+hierarchical+off,completed,global-corpus,pass,final-fail,0.728962,0,no,"stage-local baseline passes but parent-child, hybrid, and hierarchical upstream components all fail","H1 and R1 separately"
top2-confirmation,top2-confirmation-61e18c1d40a13e571292,parent-child+hybrid+hierarchical+rerank50,completed,global-corpus,fail,final-fail,0.779109,3,yes,"three new hard failures plus all three upstream component failures","do not combine before single-variable repairs pass"
